regiao;idade;area;sexo;cor.ou.raca;escolaridade;escolaridadepai;escolaridademae;rendachefedefamiliaultimomes;renda.total.de.todos.os.moradores;numero.de.moradores.no.domicilio;no.ultimo.mes.alguma.pessoa.deste.domicilio.recebeu.rendimentos.do.bolsa.familia;religiao;mulheres.que.usam.roupas.que.mostram.o.corpo.merecem.ser.atacadas;as.mulatas.sao.mais.fogosas.do.que.as.mulheres.brancas;da.pra.entender.que.um.homem.que.cresceu.em.uma.familia.violenta.agrida.sua.mulher;os.homens.devem.ser.a.cabeca.do.lar;casos.de.violencia.dentro.de.casa.devem.ser.discutidos.somente.entre.os.membros.;incomoda.ver.dois.homens,.ou.duas.mulheres,.se.beijando.na.boca.em.publico;se.as.mulheres.soubessem.como.se.comportar,.haveria.menos.estupros;homem.que.bate.na.esposa.tem.que.ir.para.a.cadeia;e.violencia.falar.mentiras.sobre.uma.mulher.para.os.outros;toda.mulher.sonha.em.se.casar;o.que.acontece.com.o.casal.em.casa.nao.interessa.aos.outros;quando.ha.violencia,.os.casais.devem.se.separar;casais.de.pessoas.do.mesmo.sexo.devem.ter.os.mesmos.direitos.dos.outros.casais;da.pra.entender.que.um.homem.rasgue.ou.quebre.as.coisas.da.mulher.se.ficou.nervoso;um.homem.pode.xingar.e.gritar.com.sua.propria.mulher;e.da.natureza.do.homem.ser.violento;em.briga.de.marido.e.mulher,.nao.se.mete.a.colher;a.roupa.suja.deve.ser.lavada.em.casa;uma.mulher.so.se.sente.realizada.quando.tem.filhos;a.mulher.casada.deve.satisfazer.o.marido.na.cama,.mesmo.quando.nao.tem.vontade;piada.de.preto.e.so.brincadeira,.nao.e.racismo;um.casal.de.dois.homens.vive.um.amor.tao.bonito.quanto.entre.um.homem.e.uma.mulher;mulher.que.e.agredida.e.continua.com.o.parceiro.gosta.de.apanhar;casamento.de.homem.com.homem.ou.de.mulher.com.mulher.deve.ser.proibido;a.mulher.que.apanha.em.casa.deve.ficar.quieta.para.nao.prejudicar.os.filhos;a.questao.da.violencia.contra.as.mulheres.recebe.mais.importancia.do.que.merece;tem.mulher.que.e.pra.casar,.tem.mulher.que.e.pra.cama
NORTE;34;urbano;feminino;parda;quinta serie fundamental;analfabeto ou sem instrucao;quarta serie fundamental completa;1000;1490;9;1;evangelica;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial;discorda total;discorda parcial;discorda total;concorda total;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total
NORTE;53;urbano;masculino;branca;medio completo;oitava serie fundamental incompleta;oitava serie fundamental incompleta;4800;4900;3;1;catolica;concorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total
NORTE;31;urbano;masculino;preta;analfabeto ou sem instrucao;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;5;1;evangelica;concorda parcial;neutro;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;ns;discorda total;ns;discorda total;concorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total
NORDESTE;38;urbano;feminino;parda;setima serie fundamental;cursou superior sem concluir;segunda serie medio;1000;1000;4;2;catolica;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;concorda total;neutro;concorda parcial
NORDESTE;21;urbano;feminino;parda;primeira serie medio;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;678;2;2;evangelica;concorda parcial;discorda parcial;concorda total;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;discorda total;discorda parcial
NORTE;24;urbano;feminino;parda;primeira serie medio;nao conheceu;quinta serie fundamental;678;;5;2;evangelica;concorda parcial;neutro;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;65;urbano;feminino;parda;superior completo;analfabeto ou sem instrucao;analfabeto ou sem instrucao;678;1200;7;2;catolica;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;concorda total;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda parcial
NORTE;47;urbano;feminino;parda;medio completo;quarta serie fundamental completa;analfabeto ou sem instrucao;700;700;4;2;catolica;discorda total;discorda parcial;discorda total;concorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;ns;concorda total;discorda parcial;concorda parcial;concorda parcial
NORDESTE;40;urbano;masculino;parda;fundamental completa;segunda serie fundamental;setima serie fundamental;678;3000;6;2;catolica;concorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;discorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda parcial
NORTE;29;urbano;masculino;parda;medio completo;quinta serie fundamental;medio completo;678;800;3;1;catolica;discorda total;neutro;concorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total;discorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;concorda parcial;discorda parcial
